"town","Count","Mean_Price","Mean_Dist_Park","Mean_Dist_Connector","Mean_Parks_1km","Mean_Connector_Length_1km"
"QUEENSTOWN",264,889150.84469697,2785.45203487128,188.195283541422,0,7815.70812377783
"BUKIT MERAH",385,866900.332467532,1683.14158114301,135.438865779392,0.303896103896104,7093.95917112299
"BUKIT TIMAH",13,824683.692307692,1652.78120557111,291.909066266073,0.153846153846154,2907.45149647748
"KALLANG/WHAMPOA",269,794654.26394052,3580.86102882463,237.495253397836,0,4577.4410575714
"GEYLANG",245,777380.779183674,3492.21410431657,159.808741563603,0,4347.02707441086
"BISHAN",114,776153.885964912,977.793050699008,146.912494365575,0.736842105263158,10262.1903240247
"CLEMENTI",192,729387.958333333,2937.1895548003,566.643323883318,0,3135.5467502219
"ANG MO KIO",308,652776.022727272,864.423843077966,137.179381631535,1.04220779220779,13677.9381177363
"SERANGOON",166,648859.554216868,2904.2521172562,236.578812524795,0,9579.65542726033
"PUNGGOL",1005,643501.43681592,943.641199481055,113.702936483746,1.25771144278607,11564.2491860703
"CENTRAL AREA",31,640408.258064516,1595.14030737659,114.621362279167,0.193548387096774,6716.05367167394
"SENGKANG",1040,621488.513461538,2095.77513560183,97.355244055638,0.0134615384615385,13294.8301435899
"PASIR RIS",279,607846.064516129,1728.55129750219,276.341339661061,0.014336917562724,5939.2978563994
"HOUGANG",671,593124.13561848,1438.23773234351,102.810926830549,0.326378539493294,15722.218494049
"BUKIT BATOK",810,592413.408641975,1339.22801917564,581.847603745178,0.258024691358025,3553.9356740721
"SEMBAWANG",485,589461.395876289,1183.19017720318,279.106317070953,0.315463917525773,6411.18509754124
"MARINE PARADE",34,582643.764705882,481.910909690406,146.248221222999,1,4695.66200093847
"TAMPINES",1,555688,1560.04114698521,1560.04114698521,0,0
"BUKIT PANJANG",370,550224.259459459,3471.40752302917,219.08873336776,0,3819.18936224559
"CHOA CHU KANG",654,527498.613149847,3891.05772084472,496.815256950032,0,1808.03002490992
"JURONG EAST",171,524503.912280702,1657.52343036147,236.500712106204,0.16374269005848,5385.99352952838
"JURONG WEST",764,520751.804816754,2409.4488750488,2370.53306320956,0.0968586387434555,200.211451478743
